,name,cuisine,price,rank,neighborhood,reviews,avg
5850,Hill Cafe,French,2.0,415, Brooklyn,26.0,4.5
5851,Slowly Shirley,,,"5,088", Manhattan,8.0,4.5
5852,Il Carino Restaurant,Italian,2.0,"5,089", Manhattan,15.0,4.0
5853,Buffalo Wild Wings,American,2.0,846, Brooklyn,60.0,3.5
5854,The Little Grocery Downtown,Cafe,1.0,73, Hoboken,13.0,4.5
5855,Karizma Hookah Lounge,,,"5,090", Manhattan,18.0,4.0
5856,Jake's Saloon,American,2.0,"5,091", Manhattan,54.0,3.5
5857,Chipotle Mexican Grill,Mexican,1.0,"5,092", Manhattan,22.0,4.0
5858,Tofu tofu,Asian,2.0,"5,093", Manhattan,11.0,4.0
5859,Foodbella,,,"5,094", Manhattan,10.0,4.5
5860,La Gouloe,French,3.0,"5,095", Manhattan,9.0,4.5
5861,Five Guys Burgers,,,"1,114", Brooklyn,23.0,4.0
5862,Lotus Indian Cuisine,Indian,2.0,137, Jersey City,21.0,4.0
5863,Au Bon Pain,,,"1,116", Brooklyn,10.0,4.0
5864,Atami Japanese Fusion,Japanese,2.0,"5,096", Manhattan,17.0,4.0
5865,Dulcinea,Mexican,1.0,"1,118", Brooklyn,5.0,5.0
5866,Patsy's Pizzeria,Italian,2.0,"5,097", Manhattan,20.0,4.0
5867,Kana Tapas Bar,Spanish,1.0,"5,098", Manhattan,17.0,4.0
5868,Sushi Noz,Sushi,,"5,099", Manhattan,5.0,5.0
5869,Osaka,Japanese,2.0,"1,119", Brooklyn,11.0,4.5
5870,World Famous Ray's Pizza,Pizza,1.0,"5,100", Manhattan,17.0,4.0
5871,n'eat Nordic eatery,European,2.0,"5,101", Manhattan,10.0,4.5
5872,The Restaurant at the Playboy Club,American,3.0,"5,102", Manhattan,8.0,4.5
5873,Kotti Berliner Doner Kebab,,,"1,122", Brooklyn,7.0,4.5
5874,Europa Cafe,,,"5,103", Manhattan,14.0,4.0
5875,Church & Dey,American,2.0,"5,104", Manhattan,86.0,3.5
5876,Pita Press,Mediterranean,,"5,105", Manhattan,9.0,4.5
5877,Pie by the Pound,,,"5,106", Manhattan,8.0,4.5
5878,68 Jay St Bar,Bar,,"1,124", Brooklyn,14.0,4.5
5879,Matryoshka,,,"5,107", Manhattan,8.0,4.5
5880,Top Thai,Asian,2.0,"5,108", Manhattan,13.0,4.5
5881,Chow House NYC,Bar,2.0,"5,109", Manhattan,5.0,5.0
5882,Renaissance Harlem,,,"5,110", Manhattan,5.0,5.0
5883,Marty's V Burger,,,"5,111", Manhattan,8.0,4.5
5884,Pomodoro Pizzeria,Italian,2.0,"5,112", Manhattan,23.0,3.5
5885,Nyc Fried Chicken,Fast Food,1.0,"5,113", Manhattan,25.0,4.0
5886,Potbelly Sandwich Works,Fast Food,,"5,114", Manhattan,13.0,4.0
5887,XO Taste,Chinese,2.0,"5,115", Manhattan,12.0,4.0
5888,FP Paisserie,French,2.0,"5,116", Manhattan,9.0,4.5
5889,New York Marketplace,International,2.0,"5,117", Manhattan,27.0,3.5
5890,Cafe Hong Kong,Chinese,1.0,"5,118", Manhattan,22.0,4.0
5891,Rockin' Raw,Vegan Options,2.0,"5,119", Manhattan,25.0,4.0
5892,Wichcraft,,,"5,120", Manhattan,15.0,4.0
5893,Bingo Deli,,,"5,121", Manhattan,11.0,4.0
5894,Planet Gyro,Greek,1.0,"5,122", Manhattan,9.0,4.0
5895,Moonstruck Eatery,Diner,1.0,"5,123", Manhattan,12.0,4.0
5896,Henry's On the Hudson,Bar,2.0,140, Jersey City,23.0,3.5
5897,Moonstruck Diner,American,1.0,"5,124", Manhattan,26.0,4.0
5898,Ming's Caffe,Chinese,,"5,125", Manhattan,8.0,4.5
5899,Poulette,French,1.0,"5,126", Manhattan,19.0,4.5
5900,Taberna 97,European,2.0,"5,127", Manhattan,11.0,4.0
5901,5 Brothers Gourmet Market,,,"5,128", Manhattan,9.0,4.0
5902,Esme,American,2.0,487, Brooklyn,43.0,4.0
5903,The Tang,Asian,1.0,"5,129", Manhattan,6.0,4.5
5904,Korean Express,Asian,1.0,"5,130", Manhattan,33.0,3.5
5905,SNOWFOX Grab-N-Go Cafe,,,"5,131", Manhattan,8.0,4.0
5906,Ramen Setagaya,,,"1,019", Brooklyn,19.0,4.0
5907,Rocka Rolla,,,"5,132", Manhattan,6.0,5.0
5908,Kevin's,Seafood,2.0,985, Brooklyn,12.0,4.5
5909,La Fusta Restaurant,Steakhouse,2.0,4, North Bergen,118.0,4.5
5910,Brooklyn Bridge Diner,American,1.0,"1,135", Brooklyn,17.0,4.0
5911,Xe May Sandwich Shop,Vietnamese,,"5,133", Manhattan,11.0,4.5
5912,PQR Roman Pizzeria,,,"5,134", Manhattan,7.0,4.5
5913,Blossom Du Jour,,,"5,135", Manhattan,9.0,4.0
